Table 1 
The Sample of Ultracool Dwarfs with Measured SEDs


R.A.	Decl.	Designation	Discovery References	SpT	SpT References	
07 22 27.60	-05 40 38.4	UGPS J072227.51-054031.2	66	T9	66	
07 27 18.24	+17 10 01.2	2MASSI J0727182+171001	36	T7	2	
07 29 00.02	-39 54 04.4	2MASS J07290002-3954043	67	T8pec	67	
07 42 01.30	+20 55 19.8	SDSS J074201.41+205520.5	1	T5	24	
07 46 42.56	+20 00 32.1	2MASSI J0746425+200032	18	L0.5	14	
07 51 16.45	-25 30 43.2	DENIS-P J0751164-253043	62	L2.5	62	
07 52 23.90	+16 12 15.7	2MASS J07522390+1612157	37	M7beta gamma	68,25	
08 17 30.01	-61 55 15.8	DENIS J081730.0-615520	69	T6	69	
08 25 19.68	+21 15 52.1	2MASSI J0825196+211552	14	L7.5	14	
08 29 49.34	+26 46 33.7	GJ 1111	70	M6.5	71	
08 30 08.25	+48 28 48.2	SDSSp J083008.12+482847.4	28	L8	47	
08 30 32.56	+09 47 15.4	LHS 2021	26	M6.5	72	
08 30 48.78	+01 28 31.1	SDSS J083048.80+012831.1	1	T4.5	24	
08 35 42.56	-08 19 23.7	2MASSI J0835425-081923	32	L5	32	
08 47 28.72	-15 32 37.2	2MASSI J0847287-153237	32	L2	32	
08 53 36.19	-03 29 32.1	2MASS J08533619-0329321	73	M9	74	
08 59 25.47	-19 49 26.8	2MASSI J0859254-194926	32	L6	32	
09 12 14.69	+14 59 39.6	Gl 337CD	75	L8	75	
09 20 12.23	+35 17 42.9	2MASSW J0920122+351742	14	L6.5	14	
09 37 34.87	+29 31 40.9	2MASSI J0937347+293142	36	T6p	2	
09 39 35.48	-24 48 27.9	2MASS J09393548-2448279	23	T8	24	
09 49 08.60	-15 45 48.5	2MASS J09490860-1545485	23	T2	76	
10 04 20.66	+50 22 59.6	G 196-3B	77	L3beta	4	
10 07 33.69	-45 55 14.7	2MASS J10073369-4555147	67	T5	67	
10 10 14.80	-04 06 49.9	2MASSI J1010148-040649	32	L6	32	
10 17 07.54	+13 08 39.8	2MASSI J1017075+130839	32	L2:	32	
10 21 09.69	-03 04 19.7	SDSS J102109.69-030420.1	78	T3	24	
10 22 14.89	+41 14 26.6	HD 89744B	75	L0	75	
10 22 48.21	+58 25 45.3	2MASS J10224821+5825453	48	L1beta	4	
10 36 53.05	-34 41 38.0	2MASSW J1036530-344138	79	L6	79	
10 47 53.85	+21 24 23.4	2MASSI J1047538+212423	80	T6.5	24	
10 48 14.64	-39 56 06.2	DENIS-P J1048.0-3956	81	M9	81	
10 49 18.91	-53 19 10.0	Luhman 16B	82	T1	83	
10 49 18.91	-53 19 10.0	Luhman 16A	82	L8	83	
10 56 28.86	+07 00 52.7	2MASS J10562886+0700527	84	M6	74	
10 58 47.87	-15 48 17.2	DENIS-P J1058.7-1548	85	L3	52	
11 02 09.83	-34 30 35.5	TWA 28	86	M8.5gamma	86	
11 10 10.01	+01 16 13.0	SDSS J111010.01+011613.1	28	T5.5p	87	
11 12 25.67	+35 48 13.1	Gl 417BC	14	L4.5	14	
11 14 51.33	-26 18 23.5	2MASS J11145133-2618235	23	T7.5	24	
11 39 51.14	-31 59 21.5	TWA 26	5	M9gamma	60	
11 46 34.49	+22 30 52.7	2MASSW J1146345+223053	52	L3	52	
11 54 42.23	-34 00 39.0	2MASS J11544223-3400390	53	L0beta	34	
11 55 39.52	-37 27 35.0	2MASSW J1155395-372735	79	L2	79	
12 07 33.47	-39 32 54.0	TWA 27A	79	M8	88	
12 07 33.47	-39 32 54.0	TWA 27B	89	L3VL-G	16	
12 07 33.47	-39 32 54.0	TWA 27	89	M8gamma	79	
12 07 48.36	-39 00 04.4	2MASS J12074836-3900043	90	L0gamma	90	
12 17 11.10	-03 11 13.1	2MASSI J1217110-031113	80	T7.5	24	
12 25 54.32	-27 39 46.6	2MASS J12255432-2739466	80	T6	24	
12 28 15.23	-15 47 34.2	DENIS-P J1228.2-1547	85	L5	52	
12 37 39.19	+65 26 14.8	2MASS J12373919+6526148	80	T6.5	2	
12 39 27.27	+55 15 37.1	2MASSW J1239272+551537	14	L5	14	
12 45 14.16	-44 29 07.7	TWA 29	91	M9.5	91	
12 54 53.93	-01 22 47.4	SDSSp J125453.90-012247.4	78	T2	2	
13 00 41.74	+12 21 14.7	Ross 458C	92	T8	76	
13 05 40.19	-25 41 05.9	Kelu-1	93	L2	52	
13 20 44.27	+04 09 04.5	2MASS J13204427+0409045	48	L3:	48	
13 26 29.81	-00 38 31.4	SDSSp J132629.82-003831.5	57	L8:	57	
13 46 46.34	-00 31 50.1	SDSSp J134646.45-003150.4	94	T6.5	24	
13 59 55.10	-40 34 58.2	2MASS J13595510-4034582	48	L1	48	
14 16 23.94	+13 48 36.3	ULAS J141623.94+134836.3	95	T7.5p	95	
14 16 59.86	+50 06 25.8	SDSS J141659.78+500626.4	49	L4.5	49	
14 24 39.09	+09 17 10.4	GD 165B	96	L4	52	
14 25 27.98	-36 50 22.9	DENIS-P J142527.97-365023.4	97	L3:	48	
14 28 43.23	+33 10 39.1	LHS 2924	98	M9	99	
14 39 00.31	+18 39 38.5	LHS 377	100	M7sd	101	
14 39 28.36	+19 29 14.9	2MASS J14392837+1929150	52	L1	52	
14 40 22.93	+13 39 23.0	LSPM J1440+1339	102	M8	27	
14 48 25.63	+10 31 59.0	2MASS J14482563+1031590	21	L4:	34	
14 56 38.31	-28 09 47.3	LHS 3003	26	M7	8	
14 57 14.96	-21 21 47.7	Gliese 570D	103	T7.5	2	
15 01 08.18	+22 50 02.0	TVLM 513-46546	104	M8.5	8	
15 03 19.61	+25 25 19.6	2MASS J15031961+2525196	105	T5	2	
15 04 11.64	+10 27 18.4	CFBDS J150411+102717	49	T7	49	
15 06 54.41	+13 21 06.0	2MASSW J1506544+132106	12	L3	12	
15 07 47.69	-16 27 38.6	2MASSW J1507476-162738	18	L5	14	
15 10 16.85	-02 41 07.8	TVLM 868-110639	104	M9	106	
15 11 14.66	+06 07 43.1	SDSS J151114.66+060742.9	49	T2	107	
15 15 00.83	+48 47 41.6	2MASSW J1515008+484742	21	L6	9	
15 23 22.63	+30 14 56.2	Gl 584C	14	L8	14	
15 26 14.05	+20 43 41.4	2MASSI J1526140+204341	14	L7	14	
15 39 41.89	-05 20 42.8	DENIS-P J153941.96-052042.4	97	L4	47	
15 46 27.19	-33 25 11.2	2MASS J15462718-3325111	36	T5.5	108	
15 52 59.06	+29 48 48.5	2MASSW J1552591+294849	21	L0beta	4	
15 55 15.73	-09 56 05.5	2MASSW J1555157-095605	79	L1	79	
16 15 04.13	+13 40 07.9	2MASS J16150413+1340079	67	T6	67	
16 24 14.36	-00 29 15.8	SDSSp J162414.37+002915.6	109	T6	2	
16 26 20.34	+39 25 19.0	2MASS J16262034+3925190	110	L4sd	111	
16 32 29.11	+19 04 40.7	2MASSW J1632291+190441	52	L8	52	
16 47 15.59	+56 32 08.2	WISEPA J164715.59+563208.2	45	L9p	45	
16 55 35.29	-08 23 40.1	vB 8	112	M7	99	
16 58 03.80	+70 27 01.5	LSPM J1658+7027	12	L1	12	
17 26 00.07	+15 38 19.0	2MASSI J1726000+153819	14	L3beta	4	
17 28 11.50	+39 48 59.3	2MASSW J1728114+394859	14	L7	14	
17 50 32.93	+17 59 04.2	SDSSp J175032.96+175903.9	28	T3.5	2	
18 28 35.72	-48 49 04.6	2MASS J18283572-4849046	17	T5.5	108	
18 35 37.90	+32 59 54.5	2MASS J18353790+3259545	79	M8.5	113	
18 41 08.61	+31 17 27.9	2MASSW J1841086+311727	14	L4p	14	
18 43 22.13	+40 40 20.9	2MASS J18432213+4040209	26	M8	9	
19 16 57.62	+05 09 02.1	Gliese 752 B	112	M8	114	
20 00 48.41	-75 23 07.0	2MASS J20004841-7523070	72	M9gamma	35	
20 47 49.59	-07 18 18.2	SDSS J204749.61-071818.3	1	T0:	24	
20 57 54.09	-02 52 30.2	2MASSI J2057540-025230	32	L1.5	32	
21 01 15.44	+17 56 58.6	2MASSW J2101154+175658	14	L7.5	14	
21 04 14.91	-10 37 36.9	2MASSI J2104149-103736	32	L2.5	47	
21 14 08.02	-22 51 35.8	PSO J318.5338-22.8603	115	L7VL-G	115	
21 26 50.40	-81 40 29.3	2MASS J21265040-8140293	48	L3gamma	4	
21 27 26.13	-42 15 18.3	HB 2124-4228	116	M7.5	48	
21 39 26.77	+02 20 22.7	2MASS J21392676+0220226	48	T1.5	2	
21 44 28.46	+14 46 07.8	HN Peg B	20	T2.5	20	
21 48 16.33	+40 03 59.4	2MASS J21481628+4003593	117	L6	3	
21 50 19.50	-21 19 50.0	2MASS J14112131-2119503	97	M9beta	32,16	
22 06 44.98	-42 17 20.8	2MASSW J2206450-421721	14	L4gamma	35	
22 08 13.63	+29 21 21.5	2MASSW J2208136+292121	14	L3gamma	4	
22 24 43.81	-01 58 52.1	2MASSW J2224438-015852	14	L4.5	14	
22 28 28.89	-43 10 26.2	2MASS J22282889-4310262	56	T6	108	
22 34 41.62	+40 41 38.8	2MASS J22344161+4041387	32	M6	32	
22 37 32.55	+39 22 39.8	2MASS J22373255+3922398	118	M9.5	118	
22 44 31.67	+20 43 43.3	2MASSW J2244316+204343	119	L6.5	47	
23 06 29.28	-05 02 28.5	2MASS J23062928-0502285	12	M7.5	12	
23 22 46.84	-31 33 23.1	2MASS J23224684-3133231	48	L0beta	34,16	
23 22 52.99	-61 51 27.5	2MASS J23225299-6151275	48	L2gamma	4	
23 51 50.44	-25 37 36.7	2MASS J23515044-2537367	120	M8	121	
23 54 09.28	-33 16 26.6	APMPM J2354-3316C	50	M8.5	122	
23 56 54.77	-15 53 11.1	2MASSI J2356547-155310	36	T5.5	2	
Note.
^a We adopt a type of "0355-type" from K. Cruz et al. (2015, in preparation) due to this object's spectral uniqueness compared to other M, L, and T dwarfs.
References. (1) Knapp et al. (2004), (2) Burgasser et al. (2006a), (3) Kirkpatrick et al. (2010), (4) Cruz et al. (2009), (5) Goldman et al. (1999), (6) Kirkpatrick et al. (2001a), (7) Cruz & Reid (2002), (8) Kirkpatrick et al. (1995), (9) Cruz et al. (2007), (10) Faherty et al. (2009), (11) Schneider et al. (1991), (12) Gizis et al. (2000), (13) Konopacky et al. (2010), (14) Kirkpatrick et al. (2000), (15) Gizis et al. (2003), (16) Allers & Liu (2013), (17) Burgasser et al. (2004), (18) Reid et al. (2000), (19) Mugrauer et al. (2006), (20) Luhman et al. (2007), (21) Wilson et al. (2003), (22) Gizis et al. (2012), (23) Tinney et al. (2005), (24) Burgasser et al. (2006b), (25) Burgasser (2007), (26) Luyten (1979a), (27) Dieterich et al. (2014), (28) Geballe et al. (2002), (29) Hawley et al. (2002), (30) Naud et al. (2014), (31) Reid et al. (2001), (32) Cruz et al. (2003), (33) Kirkpatrick et al. (2006), (34) K. Cruz et al. (2015, in preparation), (35) J. Faherty et al. (2015, in preparation), (36) Burgasser et al. (2002a), (37) Luyten (1979b), (38) Kirkpatrick et al. (1997), (39) Metchev et al. (2008), (40) West et al. (2008), (41) Turnbull & Tarter (2003), (42) Henry et al. (2006), (43) Luhman et al. (2009), (44) Scholz et al. (2011), (45) Kirkpatrick et al. (2011), (46) Martin et al. (1999), (47) Kirkpatrick et al. (2008), (48) Reid et al. (2008), (49) Chiu et al. (2006), (50) Pokorny et al. (2004), (51) Phan-Bao et al. (2006), (52) Kirkpatrick et al. (1999), (53) Bouy et al. (2003), (54) Kendall et al. (2003), (55) Phan-Bao et al. (2003), (56) Burgasser et al. (2003b), (57) Fan et al. (2000), (58) Burgasser et al. (2000c), (59) Lepine et al. (2002), (60) Faherty et al. (2012), (61) Nakajima et al. (1995), (62) Phan-Bao et al. (2008), (63) Thorstensen & Kirkpatrick (2003), (64) Kirkpatrick (2005), (65) Ruiz et al. (1991), (66) Lucas et al. (2010), (67) Looper et al. (2007), (68) Reid et al. (2003a), (69) Artigau et al. (2010), (70) Giclas et al. (1961), (71) Jenkins et al. (2009), (72) Costa et al. (2006), (73) Reid (1987), (74) Kirkpatrick et al. (1991), (75) Wilson et al. (2001), (76) Burgasser et al. (2010c), (77) Rebolo (1998), (78) Leggett et al. (2000), (79) Gizis (2002), (80) Burgasser et al. (1999), (81) Montes et al. (2001), (82) Luhman (2013), (83) Boffin et al. (2013), (84) Giclas et al. (1959), (85) Delfosse et al. (1997), (86) Scholz et al. (2005), (87) Gagne et al. (2015b), (88) Mohanty et al. (2007), (89) Chauvin et al. (2004), (90) Gagne et al. (2014), (91) Liebert et al. (2003), (92) Goldman et al. (2010), (93) Ruiz et al. (1997), (94) Tsvetanov et al. (2000), (95) Burningham et al. (2010), (96) Becklin & Zuckerman (1988), (97) Kendall et al. (2004), (98) Probst & Liebert (1983), (99) Reid & Gizis (2005), (100) Liebert et al. (1979), (101) Gizis (1997), (102) Lepine and Shara (2005), (103) Burgasser et al. (2000a), (104) Tinney et al. (1992), (105) Burgasser et al. (2003a), (106) Kirkpatrick et al. (1994), (107) Albert et al. (2011), (108) Burgasser et al. (2006c), (109) Strauss et al. (1999), (110) Burgasser (2004), (111) Burgasser et al. (2007), (112) van Biesbroeck (1961), (113) Reid et al. (2003b), (114) Henry & Kirkpatrick (1990), (115) Liu et al. (2013), (116) Hawkins & Bessell (1988), (117) Looper et al. (2008b), (118) Kirkpatrick et al. (2001b), (119) Dahn et al. (2002), (120) Seifahrt et al. (2010), (121) Schmidt et al. (2007), (122) Scholz et al. (2004), (123) Chauvin et al. (2005).
